rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2382,1,2011-03-21,0,-27,2629
2,Rafael Nadal,Spain,ESP,2375,1,2008-06-16,0,-24,2552
3,Roger Federer,Switzerland,SUI,2325,1,2003-08-11,0,0,2550
4,Dominic Thiem,Austria,AUT,2249,4,2020-02-03,0,14,2249
5,Daniil Medvedev,Russian Federation,RUS,2244,4,2019-10-14,2,68,2244
6,Andrey Rublev,Russian Federation,RUS,2182,5,2020-11-02,0,-5,2197
7,Alexander Zverev,Germany,GER,2180,5,2017-08-14,-2,-7,2231
8,Stefanos Tsitsipas,Greece,GRE,2153,6,2020-10-11,0,0,2175
9,Andy Murray,United Kingdom,GBR,2141,2,2009-04-19,0,0,2500
10,Milos Raonic,Canada,CAN,2104,5,2016-07-11,0,0,2269
11,Stan Wawrinka,Switzerland,SUI,2099,5,2014-02-17,0,0,2291
12,Nick Kyrgios,Australia,AUS,2087,10,2017-04-18,1,0,2176
13,Kevin Anderson,South Africa,RSA,2081,6,2019-04-15,1,0,2181
14,Roberto Bautista Agut,Spain,ESP,2078,9,2019-07-15,1,0,2135
15,Diego Sebastian Schwartzman,Argentina,ARG,2077,11,2020-11-02,-3,-19,2096
16,Pablo Carreno Busta,Spain,ESP,2074,16,2020-10-11,0,0,2074
17,Kei Nishikori,Japan,JPN,2060,4,2016-09-12,0,0,2296
18,Gael Monfils,France,FRA,2044,7,2010-11-28,0,0,2189
19,Grigor Dimitrov,Bulgaria,BUL,2043,6,2018-01-29,0,0,2203
20,Alex De Minaur,Australia,AUS,2030,19,2020-01-13,0,0,2062
21,Jo Wilfried Tsonga,France,FRA,2028,6,2009-03-02,0,-1,2244
22,Matteo Berrettini,Italy,ITA,2026,13,2019-10-28,0,0,2102
23,Denis Shapovalov,Canada,CAN,2015,16,2019-11-26,0,0,2075
24,David Goffin,Belgium,BEL,2012,8,2018-05-21,0,0,2165
25,Tomas Berdych,Czech Republic,CZE,2007,6,2013-10-21,0,-1,2263
26,Ugo Humbert,France,FRA,2002,26,2020-11-15,0,0,2002
27,Karen Khachanov,Russian Federation,RUS,1992,10,2019-02-08,0,0,2137
28,Marin Cilic,Croatia,CRO,1992,6,2014-09-08,0,0,2232
